customer_id,customer_name,industry,country,signup_date,initial_plan,is_active
A-2e4581,Company_0,EdTech,US,2024-10-16,Basic,0
A-43a9e3,Company_1,FinTech,IN,2023-08-17,Basic,0
A-0a282f,Company_2,DevTools,US,2024-08-27,Basic,0
A-1f0ac7,Company_3,HealthTech,UK,2023-08-27,Basic,0
A-ce550d,Company_4,HealthTech,US,2024-10-27,Enterprise,0
A-1b9609,Company_5,EdTech,IN,2023-10-12,Enterprise,0
A-a0ca4e,Company_6,Cybersecurity,US,2024-03-08,Pro,0
A-e5d6ab,Company_7,EdTech,US,2023-04-15,Pro,0
A-7dacce,Company_8,Cybersecurity,CA,2024-09-10,Enterprise,0
A-10b8da,Company_9,DevTools,US,2023-05-08,Enterprise,0
A-592832,Company_10,Cybersecurity,US,2024-09-25,Basic,0
A-d40bf7,Company_11,FinTech,IN,2024-11-08,Basic,0
A-6c093d,Company_12,DevTools,US,2023-04-14,Basic,0
A-462d45,Company_13,Cybersecurity,US,2024-01-15,Enterprise,0
A-956988,Company_14,EdTech,UK,2024-11-30,Enterprise,0
A-ac14bb,Company_15,FinTech,US,2023-09-08,Enterprise,0
A-463db0,Company_16,HealthTech,US,2024-12-05,Basic,0
A-ce66f8,Company_17,EdTech,CA,2023-08-23,Pro,0
A-c4ea60,Company_18,FinTech,DE,2023-03-09,Enterprise,0
A-832ec2,Company_19,FinTech,UK,2023-11-19,Enterprise,0
A-684255,Company_20,FinTech,US,2024-04-14,Enterprise,0
A-c42f1f,Company_21,HealthTech,US,2024-07-28,Pro,0
A-4e44e8,Company_22,DevTools,US,2024-08-20,Enterprise,0
A-30b4ca,Company_23,EdTech,IN,2024-05-20,Basic,0
A-9f2731,Company_24,FinTech,IN,2024-10-04,Enterprise,0
A-32fb14,Company_25,DevTools,US,2023-03-07,Enterprise,0
A-00cac8,Company_26,HealthTech,AU,2023-09-15,Enterprise,0
A-35083d,Company_27,HealthTech,IN,2023-04-28,Basic,0
A-eb7fac,Company_28,DevTools,US,2023-10-28,Enterprise,0
A-b20d99,Company_29,HealthTech,IN,2023-09-27,Basic,0
A-396e5f,Company_30,Cybersecurity,CA,2024-10-02,Enterprise,0
A-45ce7a,Company_31,FinTech,US,2023-07-23,Enterprise,0
A-08e34e,Company_32,EdTech,US,2024-06-27,Basic,0
A-8145a0,Company_33,Cybersecurity,AU,2023-04-25,Basic,0
A-bad8c1,Company_34,FinTech,AU,2023-03-01,Basic,0
A-44dc83,Company_35,EdTech,FR,2024-05-12,Basic,0
A-f446b6,Company_36,DevTools,DE,2023-05-12,Pro,0
A-a45270,Company_37,HealthTech,US,2024-06-24,Enterprise,0
A-854864,Company_38,FinTech,IN,2024-12-07,Enterprise,0
A-1b7577,Company_39,Cybersecurity,US,2024-10-27,Pro,0
A-05f0e5,Company_40,FinTech,US,2023-05-04,Basic,0
A-9077b0,Company_41,HealthTech,US,2024-08-25,Basic,0
A-7f8241,Company_42,EdTech,US,2023-03-14,Pro,0
A-2bc93d,Company_43,HealthTech,US,2023-03-14,Basic,0
A-f3ff05,Company_44,FinTech,IN,2024-07-06,Enterprise,0
A-2d4502,Company_45,FinTech,IN,2024-04-29,Basic,0
A-6a4e2d,Company_46,EdTech,UK,2023-04-07,Pro,0
A-eb7c38,Company_47,DevTools,AU,2024-02-25,Enterprise,0
A-c37601,Company_48,EdTech,US,2024-10-31,Basic,0
A-3b5cd1,Company_49,FinTech,US,2023-09-12,Basic,0
A-b2225d,Company_50,FinTech,US,2024-03-08,Basic,0
A-94f8c9,Company_51,HealthTech,US,2024-03-29,Basic,0
A-02fac6,Company_52,FinTech,US,2023-04-06,Pro,0
A-c1dfe1,Company_53,DevTools,DE,2023-08-07,Pro,0
A-32728c,Company_54,DevTools,US,2023-01-03,Pro,0
A-4c38bc,Company_55,HealthTech,UK,2024-03-09,Basic,0
A-1b707d,Company_56,Cybersecurity,US,2023-07-14,Enterprise,0
A-6f8ad2,Company_57,EdTech,IN,2024-07-09,Basic,0
A-4d1e75,Company_58,DevTools,US,2024-08-21,Basic,0
A-9ee962,Company_59,HealthTech,US,2023-02-28,Basic,0
A-378b99,Company_60,EdTech,UK,2024-09-01,Pro,0
A-94d3da,Company_61,HealthTech,US,2023-05-03,Basic,0
A-e351e1,Company_62,EdTech,US,2024-09-26,Enterprise,0
A-9badbd,Company_63,Cybersecurity,DE,2024-06-19,Enterprise,0
A-7e0a10,Company_64,FinTech,US,2023-11-18,Enterprise,0
A-118d55,Company_65,Cybersecurity,US,2024-10-22,Basic,0
A-526d93,Company_66,HealthTech,FR,2024-04-14,Basic,0
A-f92792,Company_67,FinTech,US,2024-07-04,Pro,0
A-84ebe4,Company_68,FinTech,US,2023-03-12,Pro,0
A-5b4ebb,Company_69,Cybersecurity,UK,2024-07-10,Basic,0
A-2922b6,Company_70,HealthTech,US,2024-11-14,Basic,0
A-9b9fe9,Company_71,EdTech,AU,2023-09-28,Basic,0
A-a8b49c,Company_72,Cybersecurity,UK,2023-10-06,Basic,0
A-9174e0,Company_73,Cybersecurity,US,2024-12-04,Basic,0
A-a1bbb6,Company_74,DevTools,CA,2023-04-05,Basic,0
A-c45b23,Company_75,FinTech,UK,2023-12-08,Basic,0
A-02cd81,Company_76,HealthTech,IN,2024-03-28,Basic,0
A-ee42db,Company_77,EdTech,DE,2023-04-25,Enterprise,0
A-432483,Company_78,Cybersecurity,US,2023-02-06,Pro,0
A-9208f0,Company_79,EdTech,US,2023-05-11,Pro,0
A-98a59a,Company_80,FinTech,UK,2023-08-04,Enterprise,0
A-fe79a5,Company_81,HealthTech,IN,2024-02-21,Basic,0
A-726cfa,Company_82,DevTools,US,2023-07-01,Pro,0
A-c43359,Company_83,FinTech,US,2024-11-16,Pro,0
A-271f46,Company_84,DevTools,US,2023-02-09,Pro,0
A-157070,Company_85,FinTech,US,2023-11-09,Pro,0
A-40a557,Company_86,Cybersecurity,AU,2023-12-03,Pro,0
A-66224b,Company_87,HealthTech,US,2024-10-18,Pro,0
A-91e948,Company_88,EdTech,AU,2023-01-29,Basic,0
A-104f1a,Company_89,Cybersecurity,US,2024-08-17,Pro,0
A-7988d1,Company_90,Cybersecurity,US,2023-12-20,Basic,0
A-faa28c,Company_91,HealthTech,US,2024-01-30,Enterprise,0
A-f25509,Company_92,EdTech,US,2024-03-22,Enterprise,0
A-3a7284,Company_93,FinTech,US,2024-11-17,Enterprise,0
A-3a5ad8,Company_94,HealthTech,US,2023-12-05,Enterprise,0
A-65a46c,Company_95,HealthTech,US,2023-11-04,Pro,0
A-8b25f2,Company_96,Cybersecurity,US,2024-02-17,Pro,0
A-fabe19,Company_97,DevTools,UK,2024-11-11,Enterprise,0
