event_id,customer_id,event_month,event_date,event_type,mrr_delta,mrr_after_event
A-00bed1-2023-11,A-00bed1,2023-11,2023-11-30,new,1159.0,1159.0
A-00bed1-2024-04,A-00bed1,2024-04,2024-04-30,expansion,1372.0,2531.0
A-00bed1-2024-05,A-00bed1,2024-05,2024-05-31,expansion,15323.0,17854.0
A-00bed1-2024-07,A-00bed1,2024-07,2024-07-31,expansion,6944.0,24798.0
A-00bed1-2024-08,A-00bed1,2024-08,2024-08-31,expansion,3136.0,27934.0
A-00bed1-2024-09,A-00bed1,2024-09,2024-09-30,expansion,5572.0,33506.0
A-00cac8-2023-09,A-00cac8,2023-09,2023-09-30,new,392.0,392.0
A-00cac8-2023-12,A-00cac8,2023-12,2023-12-31,expansion,361.0,753.0
A-00cac8-2024-03,A-00cac8,2024-03,2024-03-31,expansion,152.0,905.0
A-00cac8-2024-08,A-00cac8,2024-08,2024-08-31,expansion,7913.0,8818.0
A-00cac8-2024-09,A-00cac8,2024-09,2024-09-30,expansion,392.0,9210.0
A-00cac8-2024-10,A-00cac8,2024-10,2024-10-31,expansion,3980.0,13190.0
A-00cac8-2024-12,A-00cac8,2024-12,2024-12-31,expansion,931.0,14121.0
A-0158bb-2024-06,A-0158bb,2024-06,2024-06-30,new,836.0,836.0
A-0158bb-2024-12,A-0158bb,2024-12,2024-12-31,expansion,3234.0,4070.0
A-016043-2024-08,A-016043,2024-08,2024-08-31,new,114.0,114.0
A-016043-2024-09,A-016043,2024-09,2024-09-30,expansion,4227.0,4341.0
A-016043-2024-10,A-016043,2024-10,2024-10-31,expansion,4109.0,8450.0
A-016043-2024-11,A-016043,2024-11,2024-11-30,expansion,4985.0,13435.0
A-016043-2024-12,A-016043,2024-12,2024-12-31,expansion,3081.0,16516.0
A-019782-2023-06,A-019782,2023-06,2023-06-30,new,833.0,833.0
A-019782-2023-08,A-019782,2023-08,2023-08-31,expansion,6506.0,7339.0
A-019782-2023-10,A-019782,2023-10,2023-10-31,expansion,209.0,7548.0
A-019782-2023-12,A-019782,2023-12,2023-12-31,contraction,-3184.0,4364.0
A-019782-2024-05,A-019782,2024-05,2024-05-31,expansion,539.0,4903.0
A-019782-2024-06,A-019782,2024-06,2024-06-30,expansion,266.0,5169.0
A-029f69-2024-05,A-029f69,2024-05,2024-05-31,new,6050.0,6050.0
A-029f69-2024-08,A-029f69,2024-08,2024-08-31,expansion,1626.0,7676.0
A-029f69-2024-09,A-029f69,2024-09,2024-09-30,expansion,3564.0,11240.0
A-029f69-2024-10,A-029f69,2024-10,2024-10-31,contraction,-285.0,10955.0
A-029f69-2024-11,A-029f69,2024-11,2024-11-30,expansion,891.0,11846.0
A-029f69-2024-12,A-029f69,2024-12,2024-12-31,expansion,1478.0,13324.0
A-02cd81-2024-03,A-02cd81,2024-03,2024-03-31,new,1672.0,1672.0
A-02cd81-2024-05,A-02cd81,2024-05,2024-05-31,expansion,13068.0,14740.0
A-02cd81-2024-06,A-02cd81,2024-06,2024-06-30,expansion,10912.0,25652.0
A-02cd81-2024-07,A-02cd81,2024-07,2024-07-31,expansion,2156.0,27808.0
A-02cd81-2024-08,A-02cd81,2024-08,2024-08-31,expansion,2992.0,30800.0
A-02cd81-2024-09,A-02cd81,2024-09,2024-09-30,contraction,-2156.0,28644.0
A-02cd81-2024-12,A-02cd81,2024-12,2024-12-31,expansion,2156.0,30800.0
A-02fac6-2023-10,A-02fac6,2023-10,2023-10-31,new,1078.0,1078.0
A-02fac6-2023-11,A-02fac6,2023-11,2023-11-30,expansion,4378.0,5456.0
A-02fac6-2024-01,A-02fac6,2024-01,2024-01-31,expansion,1078.0,6534.0
A-02fac6-2024-05,A-02fac6,2024-05,2024-05-31,expansion,8546.0,15080.0
A-02fac6-2024-09,A-02fac6,2024-09,2024-09-30,expansion,5874.0,20954.0
A-02fac6-2024-10,A-02fac6,2024-10,2024-10-31,expansion,5456.0,26410.0
A-034368-2024-06,A-034368,2024-06,2024-06-30,new,494.0,494.0
A-034368-2024-10,A-034368,2024-10,2024-10-31,expansion,5572.0,6066.0
A-034368-2024-11,A-034368,2024-11,2024-11-30,expansion,551.0,6617.0
A-034368-2024-12,A-034368,2024-12,2024-12-31,expansion,4577.0,11194.0
A-0354fe-2024-11,A-0354fe,2024-11,2024-11-30,new,8704.0,8704.0
A-0354fe-2024-12,A-0354fe,2024-12,2024-12-31,expansion,6120.0,14824.0
A-038089-2024-06,A-038089,2024-06,2024-06-30,new,245.0,245.0
A-038089-2024-07,A-038089,2024-07,2024-07-31,expansion,1764.0,2009.0
A-038089-2024-12,A-038089,2024-12,2024-12-31,expansion,95.0,2104.0
A-039727-2024-11,A-039727,2024-11,2024-11-30,new,13350.0,13350.0
A-039727-2024-12,A-039727,2024-12,2024-12-31,expansion,23070.0,36420.0
A-0532a9-2024-09,A-0532a9,2024-09,2024-09-30,new,361.0,361.0
A-0532a9-2024-10,A-0532a9,2024-10,2024-10-31,expansion,6665.0,7026.0
A-0532a9-2024-11,A-0532a9,2024-11,2024-11-30,expansion,5569.0,12595.0
A-0532a9-2024-12,A-0532a9,2024-12,2024-12-31,expansion,2566.0,15161.0
A-054577-2024-05,A-054577,2024-05,2024-05-31,new,2744.0,2744.0
A-054577-2024-06,A-054577,2024-06,2024-06-30,expansion,2361.0,5105.0
A-054577-2024-07,A-054577,2024-07,2024-07-31,expansion,597.0,5702.0
A-054577-2024-08,A-054577,2024-08,2024-08-31,expansion,2950.0,8652.0
A-054577-2024-09,A-054577,2024-09,2024-09-30,expansion,14925.0,23577.0
A-054577-2024-10,A-054577,2024-10,2024-10-31,expansion,456.0,24033.0
A-054577-2024-11,A-054577,2024-11,2024-11-30,expansion,475.0,24508.0
A-054577-2024-12,A-054577,2024-12,2024-12-31,expansion,20093.0,44601.0
A-05d3b3-2023-07,A-05d3b3,2023-07,2023-07-31,new,171.0,171.0
A-05d3b3-2023-08,A-05d3b3,2023-08,2023-08-31,expansion,3184.0,3355.0
A-05d3b3-2023-09,A-05d3b3,2023-09,2023-09-30,expansion,1078.0,4433.0
A-05d3b3-2023-11,A-05d3b3,2023-11,2023-11-30,expansion,209.0,4642.0
A-05d3b3-2024-01,A-05d3b3,2024-01,2024-01-31,expansion,2587.0,7229.0
A-05d3b3-2024-02,A-05d3b3,2024-02,2024-02-29,expansion,532.0,7761.0
